tf.Tensor(1, shape=(), dtype=int64) tf.Tensor(18.881609, shape=(), dtype=float32) 0.757
tf.Tensor(2, shape=(), dtype=int64) tf.Tensor(17.298973, shape=(), dtype=float32) 0.774
tf.Tensor(3, shape=(), dtype=int64) tf.Tensor(21.172836, shape=(), dtype=float32) 0.753
tf.Tensor(4, shape=(), dtype=int64) tf.Tensor(17.663626, shape=(), dtype=float32) 0.769
tf.Tensor(5, shape=(), dtype=int64) tf.Tensor(18.544424, shape=(), dtype=float32) 0.768
tf.Tensor(6, shape=(), dtype=int64) tf.Tensor(19.135595, shape=(), dtype=float32) 0.757
tf.Tensor(7, shape=(), dtype=int64) tf.Tensor(16.999125, shape=(), dtype=float32) 0.782
tf.Tensor(8, shape=(), dtype=int64) tf.Tensor(19.695023, shape=(), dtype=float32) 0.773
tf.Tensor(9, shape=(), dtype=int64) tf.Tensor(19.712273, shape=(), dtype=float32) 0.751
tf.Tensor(10, shape=(), dtype=int64) tf.Tensor(17.346218, shape=(), dtype=float32) 0.788
tf.Tensor(11, shape=(), dtype=int64) tf.Tensor(20.842459, shape=(), dtype=float32) 0.753
tf.Tensor(12, shape=(), dtype=int64) tf.Tensor(17.755342, shape=(), dtype=float32) 0.759
tf.Tensor(13, shape=(), dtype=int64) tf.Tensor(16.644821, shape=(), dtype=float32) 0.774
tf.Tensor(14, shape=(), dtype=int64) tf.Tensor(17.825863, shape=(), dtype=float32) 0.77
tf.Tensor(15, shape=(), dtype=int64) tf.Tensor(17.507238, shape=(), dtype=float32) 0.779
tf.Tensor(16, shape=(), dtype=int64) tf.Tensor(16.338652, shape=(), dtype=float32) 0.779
tf.Tensor(17, shape=(), dtype=int64) tf.Tensor(21.262363, shape=(), dtype=float32) 0.759
tf.Tensor(18, shape=(), dtype=int64) tf.Tensor(18.909485, shape=(), dtype=float32) 0.782
tf.Tensor(19, shape=(), dtype=int64) tf.Tensor(17.730175, shape=(), dtype=float32) 0.78
tf.Tensor(20, shape=(), dtype=int64) tf.Tensor(17.942406, shape=(), dtype=float32) 0.75
tf.Tensor(21, shape=(), dtype=int64) tf.Tensor(18.968473, shape=(), dtype=float32) 0.762
tf.Tensor(22, shape=(), dtype=int64) tf.Tensor(21.400097, shape=(), dtype=float32) 0.76
tf.Tensor(23, shape=(), dtype=int64) tf.Tensor(19.927671, shape=(), dtype=float32) 0.764
tf.Tensor(24, shape=(), dtype=int64) tf.Tensor(15.881805, shape=(), dtype=float32) 0.778
tf.Tensor(25, shape=(), dtype=int64) tf.Tensor(18.521107, shape=(), dtype=float32) 0.752
tf.Tensor(26, shape=(), dtype=int64) tf.Tensor(17.66558, shape=(), dtype=float32) 0.78
tf.Tensor(27, shape=(), dtype=int64) tf.Tensor(18.181114, shape=(), dtype=float32) 0.756
tf.Tensor(28, shape=(), dtype=int64) tf.Tensor(17.005312, shape=(), dtype=float32) 0.782
tf.Tensor(29, shape=(), dtype=int64) tf.Tensor(14.8165245, shape=(), dtype=float32) 0.775
tf.Tensor(30, shape=(), dtype=int64) tf.Tensor(15.141935, shape=(), dtype=float32) 0.774
tf.Tensor(31, shape=(), dtype=int64) tf.Tensor(16.333849, shape=(), dtype=float32) 0.77
tf.Tensor(32, shape=(), dtype=int64) tf.Tensor(15.266471, shape=(), dtype=float32) 0.782
tf.Tensor(33, shape=(), dtype=int64) tf.Tensor(16.507872, shape=(), dtype=float32) 0.775
tf.Tensor(34, shape=(), dtype=int64) tf.Tensor(16.131918, shape=(), dtype=float32) 0.781
tf.Tensor(35, shape=(), dtype=int64) tf.Tensor(15.207902, shape=(), dtype=float32) 0.8
tf.Tensor(36, shape=(), dtype=int64) tf.Tensor(14.951304, shape=(), dtype=float32) 0.777
tf.Tensor(37, shape=(), dtype=int64) tf.Tensor(16.528175, shape=(), dtype=float32) 0.774
tf.Tensor(38, shape=(), dtype=int64) tf.Tensor(16.538774, shape=(), dtype=float32) 0.766
tf.Tensor(39, shape=(), dtype=int64) tf.Tensor(17.525063, shape=(), dtype=float32) 0.763
tf.Tensor(40, shape=(), dtype=int64) tf.Tensor(15.341918, shape=(), dtype=float32) 0.781
tf.Tensor(41, shape=(), dtype=int64) tf.Tensor(15.622296, shape=(), dtype=float32) 0.78
tf.Tensor(42, shape=(), dtype=int64) tf.Tensor(13.56643, shape=(), dtype=float32) 0.777
tf.Tensor(43, shape=(), dtype=int64) tf.Tensor(15.894644, shape=(), dtype=float32) 0.78
tf.Tensor(44, shape=(), dtype=int64) tf.Tensor(13.016361, shape=(), dtype=float32) 0.784
tf.Tensor(45, shape=(), dtype=int64) tf.Tensor(13.412523, shape=(), dtype=float32) 0.803
tf.Tensor(46, shape=(), dtype=int64) tf.Tensor(14.098377, shape=(), dtype=float32) 0.785
tf.Tensor(47, shape=(), dtype=int64) tf.Tensor(16.048038, shape=(), dtype=float32) 0.769
tf.Tensor(48, shape=(), dtype=int64) tf.Tensor(14.75845, shape=(), dtype=float32) 0.789
tf.Tensor(49, shape=(), dtype=int64) tf.Tensor(15.796213, shape=(), dtype=float32) 0.768
tf.Tensor(50, shape=(), dtype=int64) tf.Tensor(15.031427, shape=(), dtype=float32) 0.792
